[2025-09-24 16:39:46] [class-ss-archive-creation-job.php:119] Starting a job; no job is presently running
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-16.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-16.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-17.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-17.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-18.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-18.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-19.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-19.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-2.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-2.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-20.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-20.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-21.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-21.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-22.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-22.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-23.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-23.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-24.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-24.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-25.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-25.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-26.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-26.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-27.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-27.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-28.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-28.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-29.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-29.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-3.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-3.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-30.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-30.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-31.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-31.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-32.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-32.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-33.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-33.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-34.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-34.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-35.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-35.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-36.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-36.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-37.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-37.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-38.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-38.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-39.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-39.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-4.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-4.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-40.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-40.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-41.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-41.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-42.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-42.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-43.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-43.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-44.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-44.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-45.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-45.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-46.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-46.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-47.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-47.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-48.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-48.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-49.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-49.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-5.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-5.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-50.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-50.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-51.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-51.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-52.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-52.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-53.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-53.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-54.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-54.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-55.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-55.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-56.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-56.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-57.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-57.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-6.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-6.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-7.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-7.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-8.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-8.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-9.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-9.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-page-builders.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-page-builders.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-requests.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-requests.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra_sites_import_data.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra_sites_import_data.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\simply-static\ad00500b5a02004d18c956f732e51dcb-debug.txt to queue as: http://preloved.local/wp-content/uploads/simply-static/ad00500b5a02004d18c956f732e51dcb-debug.txt
[2025-09-24 16:39:47] [class-ss-setup-task.php:155] Adding files from directory: C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\index.php to queue as: http://preloved.local/wp-content/index.php
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\assets\css\minified\style-rtl.min.css to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/assets/css/minified/style-rtl.min.css
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\assets\css\minified\style.min.css to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/assets/css/minified/style.min.css
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\assets\css\unminified\style-rtl.css to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/assets/css/unminified/style-rtl.css
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\assets\css\unminified\style.css to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/assets/css/unminified/style.css
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\changelog.txt to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/changelog.txt
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\class-bsf-analytics-loader.php to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/class-bsf-analytics-loader.php
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\class-bsf-analytics-stats.php to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/class-bsf-analytics-stats.php
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\class-bsf-analytics.php to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/class-bsf-analytics.php
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\classes\class-bsf-analytics-helper.php to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/classes/class-bsf-analytics-helper.php
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\modules\deactivation-survey\assets\css\feedback-rtl.css to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/modules/deactivation-survey/assets/css/feedback-rtl.css
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\modules\deactivation-survey\assets\css\feedback-rtl.min.css to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/modules/deactivation-survey/assets/css/feedback-rtl.min.css
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\modules\deactivation-survey\assets\css\feedback.css to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/modules/deactivation-survey/assets/css/feedback.css
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\modules\deactivation-survey\assets\css\feedback.min.css to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/modules/deactivation-survey/assets/css/feedback.min.css
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\modules\deactivation-survey\assets\js\feedback.js to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/modules/deactivation-survey/assets/js/feedback.js
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\modules\deactivation-survey\assets\js\feedback.min.js to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/modules/deactivation-survey/assets/js/feedback.min.js
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\modules\deactivation-survey\classes\class-deactivation-survey-feedback.php to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/modules/deactivation-survey/classes/class-deactivation-survey-feedback.php
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\modules\utm-analytics.php to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/modules/utm-analytics.php
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\admin\bsf-analytics\version.json to queue as: http://preloved.local/wp-content/plugins/astra-sites/admin/bsf-analytics/version.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\assets\css\admin.css to queue as: http://preloved.local/wp-content/plugins/astra-sites/assets/css/admin.css
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content\plugins\astra-sites\assets\css\astra-notices-rtl.css to queue as: http://preloved.local/wp-content/plugins/astra-sites/assets/css/astra-notices-rtl.css
